id,name,role,tags,what it tests,problem,step 1 action,step 1 tools,step 2 action,step 2 tools,step 3 action,step 3 tools,step 4 action,step 4 tools,step 5 action,step 5 tools,step 6 action,step 6 tools,step 7 action,step 7 tools,chat 1 handoff,chat 2a output,chat 2b keep,chat 3 context,retry 1,retry 2a,retry 2b,retry 3
marcus,Marcus Reyes,"Regional sales manager, 12 accounts",clean,The clean case. Specific answers at every turn - this is the ceiling.,"Every Thursday I spend about three hours pulling numbers for the Friday pipeline review - same twelve accounts, same slides, and half of it is retyping what Salesforce already knows.",Export current-quarter opportunities,Salesforce,Clean and pivot the numbers,Excel,Rebuild the twelve account slides,PowerPoint,Write the summary email to my director,Outlook,,,,,,,"Step 3, rebuilding the slides. Same twelve layouts every week with new numbers dropped in, and it eats an hour and a half on its own.","One slide per account: account name, quarter-to-date number against target, the two deals most likely to close, and one line on risk. Same order every week, no more than 40 words per slide.","The risk line. That is my read on the account from calls I have had, and it is the only part my director actually reads closely.","Never estimate a number - if a field is blank in the export, write MISSING and leave it. Account names must match Salesforce exactly including the Inc and LLC suffixes. Anything above 250k needs a legal review flag.",,,,
dana,Dana Whitcomb,"Grants coordinator, small nonprofit",vague,"The vague case. Every answer is mush. Does the activity produce something honest about that, or something that only looks finished?",I spend way too long every month writing up our grant reports and it is basically the same thing each time.,Gather program numbers from the team,"Email, Google Sheets",Write the narrative section,Google Docs,Format to each funder's template,Word,,,,,,,,,Probably the writing part. It just takes forever.,Just something that sounds professional and is not so dry.,"I do not know, I guess the parts about impact?","Not really anything, just make it good.","The narrative section, step 2. I want a first draft I can edit.","I do not know really, just better than what I write now.",The impact stories. Those come from site visits and I write those myself.,Nothing comes to mind.
amara,Amara Osei,Clinical research coordinator,contradiction | regulated,The over-handover case. Chat 1 offers up the judgment call; chat 2 takes it back. Does the finished prompt end up coherent or self-contradicting?,"Every week I write screening summaries for people who contacted us about the diabetes trial - about fifteen a week, and I am copying the same eligibility language over and over.",Pull the intake questionnaire responses,REDCap,Check each against inclusion and exclusion criteria,Protocol PDF,Write a one-paragraph screening summary,Word,Log the outcome,REDCap,,,,,,,Honestly all of it. Step 2 especially - checking criteria is just matching a list.,"One paragraph per candidate, plain language, stating which criteria they meet and which they do not. No more than 150 words.",The final eligible or not eligible call. That has to be me - it goes in the regulatory file with my name on it.,"Never infer a value that was not in the questionnaire - if something is missing, say MISSING. Never use the participant name, only the study ID. And it must never state that someone is eligible, only whether the criteria are met.",,,,
priya,Priya Raghavan,Hospital scheduling coordinator,clean,"Clean run in a shift-work setting. Short workflow, hard constraints.","Every day I get twenty or so shift swap requests by text and email, and I have to check each one against the roster rules before I can say yes or no.",Collect the swap requests from text and email,"Outlook, phone",Check each against the roster rules,Kronos,Reply to the nurse and update the roster,"Outlook, Kronos",,,,,,,,,"Step 2, checking each request against the rules. It is the same seven rules every time and I do it twenty times a day.","For each request: the two names, the two shifts, which rules it passes, which it fails, and a one-line plain-English reason. No more than 60 words each.",The final yes or no. Some of these are close calls about fairness and I have to own that with my staff.,"Never guess at a rule. If a shift is missing from the roster export, write MISSING and stop. Use the badge number, not the name, in anything you write back.",,,,
tomas,Tomás Herrera,Restaurant general manager,clean,"Non-desk job, physical inventory, supplier ordering.","Every Sunday night I count inventory and put in five supplier orders, and I spend two hours rebuilding the same order sheets from last week with different numbers.",Count what is on the shelves,"clipboard, MarketMan",Compare against par levels,MarketMan,Build the order for each of five suppliers,Excel,Email each supplier,Gmail,,,,,,,"Step 3, building the five order sheets. Once I know the counts it is just arithmetic against par and I have done it wrong when I am tired.","One order sheet per supplier, their item codes in their order, quantity and unit only. No prices. Flag anything I am ordering more than 30 percent above last week.",Anything perishable. I decide how much produce to buy based on what the weather is doing and how the weekend went.,"Never round quantities up to a case unless the supplier only sells cases. Sysco item codes are seven digits, the others are five. If a par level is blank, write MISSING.",,,,
lena,Lena Fischer,HR generalist,clean,Templated documents with legal exposure.,"I write about eight offer letters a month and each one is the same document with the salary, title, start date and equity swapped out, plus whatever the hiring manager negotiated.",Pull the approved offer terms,Greenhouse,Draft the letter from our template,Word,Send for countersignature,DocuSign,,,,,,,,,"Step 2, drafting the letter. The template is fixed, it is just filling it correctly and getting the negotiated bits worded right.","Our standard letter, exactly the template order, with the six variable fields filled. Under one page. Formal but not stiff.",Anything about the equity grant. That wording has been through legal and I do not improvise on it.,"Never invent a start date - if it is not in the approved terms, write MISSING. Job titles must match the requisition exactly. Never mention bonus eligibility unless the terms include it.",,,,
wesley,Wesley Okafor,Municipal permits clerk,clean,Public-facing writing with a compliance edge.,"I send about forty permit status letters a week and they are the same six paragraphs with a different address, permit number and reason for delay.",Pull the permit record,Accela,Work out which status letter applies,Accela,Write and send the letter,"Word, Outlook",,,,,,,,,"Step 3, writing the letter. There are six templates and I know which one applies by the time I get there.","Formal letter, our four-paragraph structure, plain language at about an eighth grade reading level. Under 250 words. Always ends with the appeal window.",Any letter that involves a code violation. Those can end up in front of a hearing officer and I write those myself.,"Never state a decision the record does not show. Permit numbers are formatted BLD-YYYY-NNNN. If the delay reason field is empty, write MISSING rather than guessing.",,,,
aditi,Aditi Sharma,"Customer support lead, SaaS",clean,Synthesis rather than templating - summarising many items into themes.,"Every Friday I read through the week’s support tickets and write up the top themes for the product team, which takes me most of an afternoon.",Export the week’s resolved tickets,Zendesk,Group them into themes by hand,Google Sheets,Write the summary for product,Notion,,,,,,,,,"Step 2, the grouping. I am reading four hundred tickets and sorting them into maybe eight buckets, and that is the part that eats the afternoon.","Eight themes maximum, each with a count, two representative ticket IDs, and one sentence on what the customer was actually trying to do. Ranked by count.",The recommendation at the end about what product should fix first. That is a judgement call about our roadmap and it is mine.,"Never merge two themes that have different root causes just because the wording is similar. Use ticket IDs, never customer names. If a ticket has no resolution note, leave it out and say how many you left out.",,,,
colm,Colm Byrne,Construction estimator,clean,Numeric comparison work where a mistake is expensive.,For every project I get five to nine subcontractor bids in different formats and I have to normalise them into one comparison sheet before I can recommend anything.,Collect the bid PDFs,email,Pull the line items into a common format,Excel,Flag scope gaps and exclusions,Excel,Write the recommendation memo,Word,,,,,,,"Step 2, normalising the line items. Every sub formats their bid differently and I am retyping the same twelve trades into my sheet.","One row per trade, one column per bidder, dollars only. A separate list of anything a bidder excluded that others included. No commentary.",The recommendation. Price is only half of it and the other half is whether I trust the crew to show up.,"Never total a column that has a missing bid in it. Alternates are not base bid - keep them separate. If a bid has no date, write MISSING.",,,,
ruth,Ruth Delgado,School district data analyst,clean,Education data with student privacy constraints.,"Every Monday I flag students whose attendance has dropped and write a short note to each school so they can follow up, about thirty notes a week.",Pull last week’s attendance,PowerSchool,Compare against the four-week average,Excel,Write a note per school,Outlook,,,,,,,,,"Step 3, writing the notes. It is the same three sentences per student and I write thirty of them.","One short paragraph per school listing the flagged students by ID, their current rate against their average, and the drop. No more than 100 words per school.",Anything about why a student might be absent. I do not speculate and neither should this.,"Never use a student name, only the state ID. Never suggest a cause for the absence. If attendance data is incomplete for a week, say MISSING and do not calculate an average from partial data.",,,,
